UF,municipio,idhm,idhm_educacao,idhm_longevidade,idhm_renda,classe
Rio Grande do Sul,ACEGUÁ,0.687,0.541,0.852,0.703,Médio Desenvolvimento Humano
Rio Grande do Sul,ÁGUA SANTA,0.75,0.59,0.85,0.84,Médio Desenvolvimento Humano
Rio Grande do Sul,AGUDO,0.694,0.524,0.847,0.752,Médio Desenvolvimento Humano
Rio Grande do Sul,AJURICABA,0.753,0.658,0.85,0.763,Médio Desenvolvimento Humano
Rio Grande do Sul,ALECRIM,0.672,0.522,0.852,0.683,Médio Desenvolvimento Humano
Rio Grande do Sul,ALEGRETE,0.74,0.664,0.849,0.72,Médio Desenvolvimento Humano
Rio Grande do Sul,ALEGRIA,0.695,0.572,0.818,0.717,Médio Desenvolvimento Humano
Rio Grande do Sul,ALMIRANTE TAMANDARÉ DO SUL,0.74,0.669,0.828,0.732,Médio Desenvolvimento Humano
Rio Grande do Sul,ALPESTRE,0.671,0.543,0.795,0.7,Médio Desenvolvimento Humano
Rio Grande do Sul,ALTO ALEGRE,0.747,0.642,0.859,0.756,Médio Desenvolvimento Humano
Rio Grande do Sul,ALTO FELIZ,0.734,0.603,0.886,0.74,Médio Desenvolvimento Humano
Rio Grande do Sul,ALVORADA,0.699,0.564,0.874,0.694,Médio Desenvolvimento Humano
Rio Grande do Sul,AMARAL FERRADOR,0.624,0.457,0.802,0.664,Médio Desenvolvimento Humano
Rio Grande do Sul,AMETISTA DO SUL,0.682,0.562,0.809,0.697,Médio Desenvolvimento Humano
Rio Grande do Sul,ANDRÉ DA ROCHA,0.72,0.605,0.837,0.738,Médio Desenvolvimento Humano
Rio Grande do Sul,ANTA GORDA,0.74,0.63,0.868,0.742,Médio Desenvolvimento Humano
Rio Grande do Sul,ANTÔNIO PRADO,0.758,0.671,0.835,0.777,Médio Desenvolvimento Humano
Rio Grande do Sul,ARAMBARÉ,0.691,0.57,0.833,0.694,Médio Desenvolvimento Humano
Rio Grande do Sul,ARARICÁ,0.679,0.547,0.824,0.696,Médio Desenvolvimento Humano
Rio Grande do Sul,ARATIBA,0.772,0.67,0.856,0.801,Médio Desenvolvimento Humano
Rio Grande do Sul,ARROIO DO MEIO,0.769,0.706,0.86,0.75,Médio Desenvolvimento Humano
Rio Grande do Sul,ARROIO DO SAL,0.74,0.649,0.844,0.74,Médio Desenvolvimento Humano
Rio Grande do Sul,ARROIO DO PADRE,0.669,0.461,0.86,0.756,Médio Desenvolvimento Humano
Rio Grande do Sul,ARROIO DOS RATOS,0.698,0.583,0.833,0.7,Médio Desenvolvimento Humano
Rio Grande do Sul,ARROIO DO TIGRE,0.707,0.589,0.848,0.708,Médio Desenvolvimento Humano
Rio Grande do Sul,ARROIO GRANDE,0.657,0.522,0.807,0.673,Médio Desenvolvimento Humano
Rio Grande do Sul,ARVOREZINHA,0.694,0.575,0.817,0.713,Médio Desenvolvimento Humano
Rio Grande do Sul,AUGUSTO PESTANA,0.743,0.621,0.847,0.779,Médio Desenvolvimento Humano
Rio Grande do Sul,ÁUREA,0.707,0.588,0.841,0.715,Médio Desenvolvimento Humano
Rio Grande do Sul,BAGÉ,0.74,0.647,0.848,0.739,Médio Desenvolvimento Humano
Rio Grande do Sul,BALNEÁRIO PINHAL,0.696,0.567,0.836,0.71,Médio Desenvolvimento Humano
Rio Grande do Sul,BARÃO,0.748,0.652,0.836,0.767,Médio Desenvolvimento Humano
Rio Grande do Sul,BARÃO DE COTEGIPE,0.719,0.593,0.842,0.745,Médio Desenvolvimento Humano
Rio Grande do Sul,BARÃO DO TRIUNFO,0.61,0.428,0.821,0.645,Médio Desenvolvimento Humano
Rio Grande do Sul,BARRACÃO,0.71,0.568,0.885,0.711,Médio Desenvolvimento Humano
Rio Grande do Sul,BARRA DO GUARITA,0.734,0.672,0.845,0.696,Médio Desenvolvimento Humano
Rio Grande do Sul,BARRA DO QUARAÍ,0.662,0.548,0.802,0.659,Médio Desenvolvimento Humano
Rio Grande do Sul,BARRA DO RIBEIRO,0.67,0.529,0.822,0.691,Médio Desenvolvimento Humano
Rio Grande do Sul,BARRA DO RIO AZUL,0.723,0.638,0.842,0.703,Médio Desenvolvimento Humano
Rio Grande do Sul,BARRA FUNDA,0.763,0.71,0.856,0.731,Médio Desenvolvimento Humano
Rio Grande do Sul,BARROS CASSAL,0.65,0.5,0.795,0.69,Médio Desenvolvimento Humano
Rio Grande do Sul,BENJAMIN CONSTANT DO SUL,0.619,0.492,0.801,0.601,Médio Desenvolvimento Humano
Rio Grande do Sul,BENTO GONÇALVES,0.778,0.695,0.842,0.805,Médio Desenvolvimento Humano
Rio Grande do Sul,BOA VISTA DAS MISSÕES,0.676,0.561,0.825,0.666,Médio Desenvolvimento Humano
Rio Grande do Sul,BOA VISTA DO BURICÁ,0.762,0.697,0.834,0.761,Médio Desenvolvimento Humano
Rio Grande do Sul,BOA VISTA DO CADEADO,0.703,0.59,0.851,0.692,Médio Desenvolvimento Humano
Rio Grande do Sul,BOA VISTA DO INCRA,0.731,0.641,0.867,0.703,Médio Desenvolvimento Humano
Rio Grande do Sul,BOA VISTA DO SUL,0.728,0.587,0.852,0.77,Médio Desenvolvimento Humano
Rio Grande do Sul,BOM JESUS,0.666,0.51,0.832,0.697,Médio Desenvolvimento Humano
Rio Grande do Sul,BOM PRINCÍPIO,0.746,0.661,0.836,0.751,Médio Desenvolvimento Humano
Rio Grande do Sul,BOM PROGRESSO,0.723,0.643,0.84,0.7,Médio Desenvolvimento Humano
Rio Grande do Sul,BOM RETIRO DO SUL,0.739,0.649,0.857,0.725,Médio Desenvolvimento Humano
Rio Grande do Sul,BOQUEIRÃO DO LEÃO,0.7,0.562,0.843,0.725,Médio Desenvolvimento Humano
Rio Grande do Sul,BOSSOROCA,0.692,0.608,0.821,0.665,Médio Desenvolvimento Humano
Rio Grande do Sul,BOZANO,0.745,0.628,0.853,0.773,Médio Desenvolvimento Humano
Rio Grande do Sul,BRAGA,0.674,0.563,0.83,0.656,Médio Desenvolvimento Humano
Rio Grande do Sul,BROCHIER,0.699,0.554,0.851,0.723,Médio Desenvolvimento Humano
Rio Grande do Sul,BUTIÁ,0.689,0.558,0.848,0.691,Médio Desenvolvimento Humano
Rio Grande do Sul,CAÇAPAVA DO SUL,0.704,0.585,0.855,0.699,Médio Desenvolvimento Humano
Rio Grande do Sul,CACEQUI,0.7,0.626,0.807,0.68,Médio Desenvolvimento Humano
Rio Grande do Sul,CACHOEIRA DO SUL,0.742,0.648,0.854,0.739,Médio Desenvolvimento Humano
Rio Grande do Sul,CACHOEIRINHA,0.757,0.675,0.857,0.749,Médio Desenvolvimento Humano
Rio Grande do Sul,CACIQUE DOBLE,0.662,0.528,0.81,0.677,Médio Desenvolvimento Humano
Rio Grande do Sul,CAIBATÉ,0.719,0.611,0.857,0.709,Médio Desenvolvimento Humano
Rio Grande do Sul,CAIÇARA,0.699,0.58,0.817,0.721,Médio Desenvolvimento Humano
Rio Grande do Sul,CAMAQUÃ,0.697,0.578,0.819,0.715,Médio Desenvolvimento Humano
Rio Grande do Sul,CAMARGO,0.736,0.612,0.854,0.762,Médio Desenvolvimento Humano
Rio Grande do Sul,CAMBARÁ DO SUL,0.697,0.574,0.838,0.705,Médio Desenvolvimento Humano
Rio Grande do Sul,CAMPESTRE DA SERRA,0.706,0.557,0.886,0.713,Médio Desenvolvimento Humano
Rio Grande do Sul,CAMPINA DAS MISSÕES,0.738,0.677,0.849,0.698,Médio Desenvolvimento Humano
Rio Grande do Sul,CAMPINAS DO SUL,0.76,0.691,0.842,0.753,Médio Desenvolvimento Humano
Rio Grande do Sul,CAMPO BOM,0.745,0.643,0.852,0.755,Médio Desenvolvimento Humano
Rio Grande do Sul,CAMPO NOVO,0.703,0.593,0.866,0.677,Médio Desenvolvimento Humano
Rio Grande do Sul,CAMPOS BORGES,0.708,0.616,0.819,0.704,Médio Desenvolvimento Humano
Rio Grande do Sul,CANDELÁRIA,0.674,0.521,0.842,0.699,Médio Desenvolvimento Humano
Rio Grande do Sul,CÂNDIDO GODÓI,0.728,0.627,0.853,0.72,Médio Desenvolvimento Humano
Rio Grande do Sul,CANDIOTA,0.698,0.562,0.86,0.704,Médio Desenvolvimento Humano
Rio Grande do Sul,CANELA,0.748,0.667,0.849,0.738,Médio Desenvolvimento Humano
Rio Grande do Sul,CANGUÇU,0.65,0.491,0.819,0.683,Médio Desenvolvimento Humano
Rio Grande do Sul,CANOAS,0.75,0.636,0.864,0.768,Médio Desenvolvimento Humano
Rio Grande do Sul,CANUDOS DO VALE,0.713,0.574,0.84,0.751,Médio Desenvolvimento Humano
Rio Grande do Sul,CAPÃO BONITO DO SUL,0.637,0.507,0.779,0.654,Médio Desenvolvimento Humano
Rio Grande do Sul,CAPÃO DA CANOA,0.743,0.637,0.852,0.756,Médio Desenvolvimento Humano
Rio Grande do Sul,CAPÃO DO CIPÓ,0.672,0.552,0.86,0.639,Médio Desenvolvimento Humano
Rio Grande do Sul,CAPÃO DO LEÃO,0.637,0.48,0.814,0.662,Médio Desenvolvimento Humano
Rio Grande do Sul,CAPIVARI DO SUL,0.766,0.668,0.836,0.805,Médio Desenvolvimento Humano
